,year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
1,2016,0,0,United States,138846571,230931921
2,2016,41,1,Alabama,2134061,3609447
3,2016,81,2,Alaska,321271,522679
4,2016,61,3,Arizona,2661497,4740310
5,2016,42,4,Arkansas,1137772,2140097
6,2016,71,5,California,14610509,25104844
7,2016,62,6,Colorado,2859216,3974405
8,2016,1,7,Connecticut,1675955,2582761
9,2016,11,8,Delaware,445228,691720
10,2016,55,9,District of Columbia,312575,515248
11,2016,43,10,Florida,9580489,14601066
12,2016,44,11,Georgia,4165405,6959963
13,2016,82,12,Hawaii,437664,1012860
14,2016,63,13,Idaho,710545,1166706
15,2016,21,14,Illinois,5666118,8985443
16,2016,22,15,Indiana,2807676,4849937
17,2016,31,16,Iowa,1581371,2288536
18,2016,32,17,Kansas,1225667,2054025
19,2016,51,18,Kentucky,1955195,3282420
20,2016,45,19,Louisiana,2049531,3384435
21,2016,2,20,Maine,771892,1058372
22,2016,52,21,Maryland,2807322,4189616
23,2016,3,22,Massachusetts,3378801,4948028
24,2016,23,23,Michigan,4874619,7420628
25,2016,33,24,Minnesota,2968281,3973204
26,2016,46,25,Mississippi,1209357,2191241
27,2016,34,26,Missouri,2811549,4517925
28,2016,64,27,Montana,516901,804250
29,2016,35,28,Nebraska,860573,1343821
30,2016,65,29,Nevada,1125429,1961587
31,2016,4,30,New Hampshire,755850,1042795
32,2016,12,31,New Jersey,3957303,6013656
33,2016,66,32,New Mexico,804043,1464515
34,2016,13,33,New York,7786881,13604645
35,2016,47,34,North Carolina,4769640,7352501
36,2016,36,35,North Dakota,349945,566783
37,2016,24,36,Ohio,5607641,8736808
38,2016,53,37,Oklahoma,1452992,2778219
39,2016,72,38,Oregon,2056310,3024174
40,2016,14,39,Pennsylvania,6165478,9691160
41,2016,5,40,Rhode Island,469589,786012
42,2016,48,41,South Carolina,2123584,3709283
43,2016,37,42,South Dakota,378995,631173
44,2016,54,43,Tennessee,2545271,4909426
45,2016,49,44,Texas,8975000,17448910
46,2016,67,45,Utah,1152369,1991885
47,2016,6,46,Vermont,320467,506048
48,2016,40,47,Virginia,3984631,6027152
49,2016,73,48,Washington,3363440,5123020
50,2016,56,49,West Virginia,714423,1423031
51,2016,25,50,Wisconsin,2976150,4285071
52,2016,68,51,Wyoming,258788,429682
53,2014,0,0,United States,83262122,227157964
54,2014,41,1,Alabama,1191274,3588783
55,2014,81,2,Alaska,285431,520562
56,2014,61,3,Arizona,1537671,4510186
57,2014,42,4,Arkansas,852642,2117881
58,2014,71,5,California,7513972,24440416
59,2014,62,6,Colorado,2080071,3800664
60,2014,1,7,Connecticut,1096556,2577311
61,2014,11,8,Delaware,238110,681526
62,2014,55,9,District of Columbia,177176,495899
63,2014,43,10,Florida,6026802,13914216
64,2014,44,11,Georgia,2596947,6725041
65,2014,82,12,Hawaii,369554,1012123
66,2014,63,13,Idaho,445307,1119882
67,2014,21,14,Illinois,3680417,9028752
68,2014,22,15,Indiana,1387622,4829510
69,2014,31,16,Iowa,1142284,2269179
70,2014,32,17,Kansas,887023,2048164
71,2014,51,18,Kentucky,1459409,3247300
72,2014,45,19,Louisiana,1503975,3349433
73,2014,2,20,Maine,616996,1051557
74,2014,52,21,Maryland,1745104,4154546
75,2014,3,22,Massachusetts,2186789,4896296
76,2014,23,23,Michigan,3188956,7383958
77,2014,33,24,Minnesota,1992613,3935121
78,2014,46,25,Mississippi,NA,2181131
79,2014,34,26,Missouri,1509025,4493722
80,2014,64,27,Montana,373831,787748
81,2014,35,28,Nebraska,552115,1334453
82,2014,65,29,Nevada,552546,1867644
83,2014,4,30,New Hampshire,495565,1025862
84,2014,12,31,New Jersey,1955042,6014127
85,2014,66,32,New Mexico,NA,1449503
86,2014,13,33,New York,3930310,13553426
87,2014,47,34,North Carolina,2939767,7143737
88,2014,36,35,North Dakota,255128,567221
89,2014,24,36,Ohio,3149876,8701243
90,2014,53,37,Oklahoma,825607,2755091
91,2014,72,38,Oregon,1541782,2887517
92,2014,14,39,Pennsylvania,3535576,9689491
93,2014,5,40,Rhode Island,329212,776286
94,2014,48,41,South Carolina,1261611,3584461
95,2014,37,42,South Dakota,282291,630989
96,2014,54,43,Tennessee,1430117,4799476
97,2014,49,44,Texas,NA,16675420
98,2014,67,45,Utah,577973,1905801
99,2014,6,46,Vermont,202445,495884
100,2014,40,47,Virginia,2194346,5962456
101,2014,73,48,Washington,2123901,4928407
102,2014,56,49,West Virginia,462864,1447652
103,2014,25,50,Wisconsin,2422248,4260427
104,2014,68,51,Wyoming,171153,431434
105,2012,0,0,United States,130292355,222474111
106,2012,41,1,Alabama,NA,3539217
107,2012,81,2,Alaska,301694,511792
108,2012,61,3,Arizona,2323579,4387900
109,2012,42,4,Arkansas,1078548,2109847
110,2012,71,5,California,13202158,23681837
111,2012,62,6,Colorado,2596173,3675871
112,2012,1,7,Connecticut,1560640,2543202
113,2012,11,8,Delaware,NA,663967
114,2012,55,9,District of Columbia,294254,477582
115,2012,43,10,Florida,8538264,13495057
116,2012,44,11,Georgia,3919355,6606607
117,2012,82,12,Hawaii,437159,982902
118,2012,63,13,Idaho,666290,1091410
119,2012,21,14,Illinois,5279752,8899143
120,2012,22,15,Indiana,2663368,4755291
121,2012,31,16,Iowa,1589951,2251748
122,2012,32,17,Kansas,1182771,2030686
